Potentiels de membrane sur l intervalle de temps [0,30]
P1(17.7) = 19.5082  P2(17.7) = 1.06319
P1(17.8) = 0  P2(17.8) = 1.05789
P1(17.9) = 0  P2(17.9) = 1.05261
P1(18) = 0  P2(18) = 1.04736
P1(18.1) = 0  P2(18.1) = 1.04214
P1(18.2) = 0  P2(18.2) = 1.03694
P1(18.3) = 0  P2(18.3) = 1.03177
P1(18.4) = 0  P2(18.4) = 1.22662
P1(18.5) = 0  P2(18.5) = 1.2205
P1(18.6) = 0  P2(18.6) = 1.21442
P1(18.7) = 0  P2(18.7) = 1.20836
P1(18.8) = 0  P2(18.8) = 1.20233
P1(18.9) = 1.99501  P2(18.9) = 1.19634
P1(19) = 3.98007  P2(19) = 1.19037
P1(19.1) = 5.95522  P2(19.1) = 1.18443
P1(19.2) = 7.92053  P2(19.2) = 1.17853
P1(19.3) = 9.87604  P2(19.3) = 1.17265
P1(19.4) = 11.8218  P2(19.4) = 1.1668
P1(19.5) = 13.7578  P2(19.5) = 1.16098
P1(19.6) = 15.6842  P2(19.6) = 1.15519
P1(19.7) = 17.601  P2(19.7) = 1.14943
P1(19.8) = 19.5082  P2(19.8) = 1.14369
P1(19.9) = 0  P2(19.9) = 1.13799
P1(20) = 0  P2(20) = 1.13231
P1(20.1) = 0  P2(20.1) = 1.12667
P1(20.2) = 0  P2(20.2) = 1.12105
P1(20.3) = 0  P2(20.3) = 1.11546
P1(20.4) = 0  P2(20.4) = 1.10989
P1(20.5) = 0  P2(20.5) = 1.30436
P1(20.6) = 0  P2(20.6) = 1.29785
P1(20.7) = 0  P2(20.7) = 1.29138
P1(20.8) = 0  P2(20.8) = 1.28494
P1(20.9) = 0  P2(20.9) = 1.27853
P1(21) = 1.99501  P2(21) = 1.27215
P1(21.1) = 3.98007  P2(21.1) = 1.26581
P1(21.2) = 5.95522  P2(21.2) = 1.25949
P1(21.3) = 7.92053  P2(21.3) = 1.25321
P1(21.4) = 9.87604  P2(21.4) = 1.24696
P1(21.5) = 11.8218  P2(21.5) = 1.24074
P1(21.6) = 13.7578  P2(21.6) = 1.23455
P1(21.7) = 15.6842  P2(21.7) = 1.2284
P1(21.8) = 17.601  P2(21.8) = 1.22227
P1(21.9) = 19.5082  P2(21.9) = 1.21617
P1(22) = 0  P2(22) = 1.21011
P1(22.1) = 0  P2(22.1) = 1.20407
P1(22.2) = 0  P2(22.2) = 1.19807
P1(22.3) = 0  P2(22.3) = 1.19209
P1(22.4) = 0  P2(22.4) = 1.18615
P1(22.5) = 0  P2(22.5) = 1.18023
P1(22.6) = 0  P2(22.6) = 1.37434
P1(22.7) = 0  P2(22.7) = 1.36749
P1(22.8) = 0  P2(22.8) = 1.36067
P1(22.9) = 0  P2(22.9) = 1.35388
P1(23) = 0  P2(23) = 1.34713
P1(23.1) = 1.99501  P2(23.1) = 1.34041
P1(23.2) = 3.98007  P2(23.2) = 1.33373
P1(23.3) = 5.95522  P2(23.3) = 1.32707
P1(23.4) = 7.92053  P2(23.4) = 1.32046
P1(23.5) = 9.87604  P2(23.5) = 1.31387
P1(23.6) = 11.8218  P2(23.6) = 1.30732
P1(23.7) = 13.7578  P2(23.7) = 1.3008
P1(23.8) = 15.6842  P2(23.8) = 1.29431
P1(23.9) = 17.601  P2(23.9) = 1.28785
P1(24) = 19.5082  P2(24) = 1.28143
P1(24.1) = 0  P2(24.1) = 1.27504
P1(24.2) = 0  P2(24.2) = 1.26868
P1(24.3) = 0  P2(24.3) = 1.26235
P1(24.4) = 0  P2(24.4) = 1.25606
P1(24.5) = 0  P2(24.5) = 1.24979
