Membrane potentials for each step (in ms) [0,10000]
P1(599.2)=15.8 P2(599.2)=10 P115(599.2)=0 P116(599.2)=5.4
P1(599.3)=15.8 P2(599.3)=10 P115(599.3)=0 P116(599.3)=5.5
P1(599.4)=15.9 P2(599.4)=10 P115(599.4)=0 P116(599.4)=6.5
P1(599.5)=16.9 P2(599.5)=11 P115(599.5)=0 P116(599.5)=6.5
P1(599.6)=16.4 P2(599.6)=11 P115(599.6)=0 P116(599.6)=6.5
P1(599.7)=16.4 P2(599.7)=11 P115(599.7)=0 P116(599.7)=7.5
P1(599.8)=16.4 P2(599.8)=12.1 P115(599.8)=0 P116(599.8)=7.5
P1(599.9)=16.4 P2(599.9)=13.1 P115(599.9)=0 P116(599.9)=8
P1(600)=16.4 P2(600)=13.1 P115(600)=0 P116(600)=8
P1(600.1)=17.4 P2(600.1)=13.1 P115(600.1)=0 P116(600.1)=8
P1(600.2)=17.4 P2(600.2)=13.2 P115(600.2)=0 P116(600.2)=8
P1(600.3)=17.4 P2(600.3)=13.2 P115(600.3)=0 P116(600.3)=7.5
P1(600.4)=17.6 P2(600.4)=13.3 P115(600.4)=-0.5 P116(600.4)=7.6
P1(600.5)=17.7 P2(600.5)=13.4 P115(600.5)=-0.4 P116(600.5)=8.6
P1(600.6)=17.8 P2(600.6)=13.7 P115(600.6)=0.6 P116(600.6)=8.6
P1(600.7)=17.8 P2(600.7)=14.7 P115(600.7)=0.2 P116(600.7)=8.7
P1(600.8)=17.5 P2(600.8)=14.3 P115(600.8)=0.2 P116(600.8)=8.9
P1(600.9)=17.6 P2(600.9)=15 P115(600.9)=0.2 P116(600.9)=8.9
P1(601)=17.7 P2(601)=15 P115(601)=0.2 P116(601)=10.9
P1(601.1)=17.2 P2(601.1)=15.5 P115(601.1)=2.2 P116(601.1)=10.9
P1(601.2)=17.2 P2(601.2)=16.5 P115(601.2)=2.2 P116(601.2)=10.9
P1(601.3)=17.2 P2(601.3)=16.5 P115(601.3)=2.2 P116(601.3)=12.1
P1(601.4)=17.2 P2(601.4)=16.7 P115(601.4)=2.2 P116(601.4)=13.1
P1(601.5)=17.2 P2(601.5)=16.7 P115(601.5)=2.2 P116(601.5)=15.1
P1(601.6)=17.2 P2(601.6)=16.7 P115(601.6)=2.3 P116(601.6)=15.1
P1(601.7)=17.3 P2(601.7)=16.7 P115(601.7)=2.4 P116(601.7)=15.1
P1(601.8)=17.5 P2(601.8)=17 P115(601.8)=2.6 P116(601.8)=15.3
P1(601.9)=17.5 P2(601.9)=17.2 P115(601.9)=2.6 P116(601.9)=15.4
P1(602)=17.5 P2(602)=17.2 P115(602)=3.6 P116(602)=15.5
P1(602.1)=17.5 P2(602.1)=17.3 P115(602.1)=3.7 P116(602.1)=15.6
P1(602.2)=18.6 P2(602.2)=17.3 P115(602.2)=3.7 P116(602.2)=15.7
P1(602.3)=18.6 P2(602.3)=17.3 P115(602.3)=4.7 P116(602.3)=15.7
P1(602.4)=20.6 P2(602.4)=17.3 P115(602.4)=4.7 P116(602.4)=17.7
P1(602.5)=0 P2(602.5)=17.3 P115(602.5)=4.2 P116(602.5)=17.3
P1(602.6)=0 P2(602.6)=17.3 P115(602.6)=3.7 P116(602.6)=18.3
P1(602.7)=0 P2(602.7)=17.4 P115(602.7)=3.7 P116(602.7)=19.5
P1(602.8)=0 P2(602.8)=18.4 P115(602.8)=3.7 P116(602.8)=19.5
P1(602.9)=0 P2(602.9)=18.4 P115(602.9)=3.8 P116(602.9)=19.5
P1(603)=0 P2(603)=18.4 P115(603)=3.8 P116(603)=19.5
P1(603.1)=0 P2(603.1)=19.4 P115(603.1)=3.8 P116(603.1)=19.6
P1(603.2)=0 P2(603.2)=19.5 P115(603.2)=3.8 P116(603.2)=19.6
P1(603.3)=0 P2(603.3)=19.5 P115(603.3)=3.8 P116(603.3)=19.7
P1(603.4)=0 P2(603.4)=20.6 P115(603.4)=3.9 P116(603.4)=19.7
P1(603.5)=0 P2(603.5)=0 P115(603.5)=4.9 P116(603.5)=19.7
P1(603.6)=0 P2(603.6)=0 P115(603.6)=4.9 P116(603.6)=20.8
P1(603.7)=0 P2(603.7)=0 P115(603.7)=5 P116(603.7)=0
P1(603.8)=0 P2(603.8)=0 P115(603.8)=5.1 P116(603.8)=0
P1(603.9)=0 P2(603.9)=0 P115(603.9)=6.2 P116(603.9)=0
P1(604)=0 P2(604)=0 P115(604)=6.2 P116(604)=0
P1(604.1)=0 P2(604.1)=0 P115(604.1)=6.3 P116(604.1)=0
P1(604.2)=0 P2(604.2)=0 P115(604.2)=6.3 P116(604.2)=0
P1(604.3)=0 P2(604.3)=0 P115(604.3)=6.4 P116(604.3)=0
P1(604.4)=0 P2(604.4)=0 P115(604.4)=6.6 P116(604.4)=0
P1(604.5)=0 P2(604.5)=0 P115(604.5)=6.6 P116(604.5)=0
P1(604.6)=0 P2(604.6)=0 P115(604.6)=6.6 P116(604.6)=0
P1(604.7)=0 P2(604.7)=0 P115(604.7)=6.6 P116(604.7)=0
P1(604.8)=0 P2(604.8)=0 P115(604.8)=6.6 P116(604.8)=0
P1(604.9)=0 P2(604.9)=0 P115(604.9)=6.6 P116(604.9)=0
P1(605)=0 P2(605)=0 P115(605)=6.6 P116(605)=0
P1(605.1)=0 P2(605.1)=0 P115(605.1)=6.7 P116(605.1)=0
P1(605.2)=0 P2(605.2)=0 P115(605.2)=6.7 P116(605.2)=0
P1(605.3)=0 P2(605.3)=0 P115(605.3)=6.8 P116(605.3)=0
P1(605.4)=0 P2(605.4)=0 P115(605.4)=6.8 P116(605.4)=0
P1(605.5)=0 P2(605.5)=0 P115(605.5)=6.8 P116(605.5)=0
P1(605.6)=0 P2(605.6)=0 P115(605.6)=6.9 P116(605.6)=0
P1(605.7)=0 P2(605.7)=0 P115(605.7)=7.2 P116(605.7)=0
P1(605.8)=0 P2(605.8)=0 P115(605.8)=7.2 P116(605.8)=0
P1(605.9)=0 P2(605.9)=0 P115(605.9)=6.7 P116(605.9)=0
P1(606)=0 P2(606)=0 P115(606)=7.7 P116(606)=0
P1(606.1)=0 P2(606.1)=0 P115(606.1)=9.9 P116(606.1)=0
P1(606.2)=0 P2(606.2)=0 P115(606.2)=10 P116(606.2)=0
P1(606.3)=0 P2(606.3)=0 P115(606.3)=10 P116(606.3)=0
P1(606.4)=0 P2(606.4)=0 P115(606.4)=11 P116(606.4)=0
P1(606.5)=0 P2(606.5)=0 P115(606.5)=11 P116(606.5)=0
P1(606.6)=0 P2(606.6)=0 P115(606.6)=11 P116(606.6)=0
P1(606.7)=0 P2(606.7)=0 P115(606.7)=11 P116(606.7)=0
P1(606.8)=0 P2(606.8)=0 P115(606.8)=11 P116(606.8)=0
P1(606.9)=0 P2(606.9)=0 P115(606.9)=11 P116(606.9)=0
P1(607)=0 P2(607)=0 P115(607)=10.5 P116(607)=0
P1(607.1)=0 P2(607.1)=0 P115(607.1)=10.5 P116(607.1)=0
P1(607.2)=0 P2(607.2)=0 P115(607.2)=11.6 P116(607.2)=0
P1(607.3)=0 P2(607.3)=0 P115(607.3)=11.6 P116(607.3)=0
P1(607.4)=0 P2(607.4)=0 P115(607.4)=11.6 P116(607.4)=0
P1(607.5)=0 P2(607.5)=0 P115(607.5)=11.6 P116(607.5)=0
P1(607.6)=0 P2(607.6)=0 P115(607.6)=11.7 P116(607.6)=0
P1(607.7)=0 P2(607.7)=0 P115(607.7)=11.7 P116(607.7)=0
P1(607.8)=0 P2(607.8)=0 P115(607.8)=11.7 P116(607.8)=0
P1(607.9)=0 P2(607.9)=0 P115(607.9)=12.7 P116(607.9)=0
P1(608)=0 P2(608)=0 P115(608)=12.7 P116(608)=0
P1(608.1)=0 P2(608.1)=0 P115(608.1)=12.7 P116(608.1)=0
P1(608.2)=0 P2(608.2)=0 P115(608.2)=12.7 P116(608.2)=0
P1(608.3)=0 P2(608.3)=0 P115(608.3)=12.8 P116(608.3)=0
P1(608.4)=0 P2(608.4)=0 P115(608.4)=12.8 P116(608.4)=0
P1(608.5)=0 P2(608.5)=0 P115(608.5)=12.9 P116(608.5)=0
P1(608.6)=0 P2(608.6)=0 P115(608.6)=12.9 P116(608.6)=0
P1(608.7)=0 P2(608.7)=0 P115(608.7)=12.9 P116(608.7)=0
P1(608.8)=0 P2(608.8)=0 P115(608.8)=12.9 P116(608.8)=0
P1(608.9)=0 P2(608.9)=0 P115(608.9)=12.9 P116(608.9)=0
P1(609)=0 P2(609)=0 P115(609)=12.9 P116(609)=0
P1(609.1)=0 P2(609.1)=0 P115(609.1)=12.9 P116(609.1)=0
P1(609.2)=0 P2(609.2)=0 P115(609.2)=12.9 P116(609.2)=0
P1(609.3)=0 P2(609.3)=0 P115(609.3)=12.9 P116(609.3)=0
P1(609.4)=0 P2(609.4)=0 P115(609.4)=13.9 P116(609.4)=0
P1(609.5)=0 P2(609.5)=0 P115(609.5)=13.5 P116(609.5)=0
P1(609.6)=0 P2(609.6)=0 P115(609.6)=13.5 P116(609.6)=0
P1(609.7)=0 P2(609.7)=0 P115(609.7)=13.5 P116(609.7)=0
P1(609.8)=0 P2(609.8)=0 P115(609.8)=13.5 P116(609.8)=0
P1(609.9)=0 P2(609.9)=0 P115(609.9)=13.5 P116(609.9)=0
P1(610)=0 P2(610)=0 P115(610)=14.7 P116(610)=0
P1(610.1)=0 P2(610.1)=0 P115(610.1)=14.7 P116(610.1)=0
P1(610.2)=0 P2(610.2)=0 P115(610.2)=14.7 P116(610.2)=0
P1(610.3)=0 P2(610.3)=0 P115(610.3)=14.7 P116(610.3)=0
P1(610.4)=0 P2(610.4)=0 P115(610.4)=14.7 P116(610.4)=0
P1(610.5)=0 P2(610.5)=0 P115(610.5)=16.8 P116(610.5)=0
P1(610.6)=0 P2(610.6)=0 P115(610.6)=16.8 P116(610.6)=0
P1(610.7)=0 P2(610.7)=0 P115(610.7)=16.8 P116(610.7)=0
P1(610.8)=0 P2(610.8)=0 P115(610.8)=17.8 P116(610.8)=0
P1(610.9)=0 P2(610.9)=0 P115(610.9)=17.8 P116(610.9)=0
P1(611)=0 P2(611)=0 P115(611)=17.8 P116(611)=0
P1(611.1)=0 P2(611.1)=0 P115(611.1)=17.8 P116(611.1)=0
P1(611.2)=0 P2(611.2)=0 P115(611.2)=18.8 P116(611.2)=0
P1(611.3)=0 P2(611.3)=0 P115(611.3)=18.8 P116(611.3)=0
P1(611.4)=0 P2(611.4)=0 P115(611.4)=18.8 P116(611.4)=0
P1(611.5)=0 P2(611.5)=0 P115(611.5)=18.8 P116(611.5)=0
P1(611.6)=0 P2(611.6)=0 P115(611.6)=18.8 P116(611.6)=0
P1(611.7)=0 P2(611.7)=0 P115(611.7)=18.8 P116(611.7)=0
P1(611.8)=0 P2(611.8)=0 P115(611.8)=18.9 P116(611.8)=0
P1(611.9)=0 P2(611.9)=0 P115(611.9)=19 P116(611.9)=0
P1(612)=0 P2(612)=0 P115(612)=20 P116(612)=0
P1(612.1)=0 P2(612.1)=0 P115(612.1)=20 P116(612.1)=0
P1(612.2)=0 P2(612.2)=0 P115(612.2)=21 P116(612.2)=0
P1(612.3)=0 P2(612.3)=0 P115(612.3)=0 P116(612.3)=0
P1(612.4)=0 P2(612.4)=0 P115(612.4)=0 P116(612.4)=0
P1(612.5)=0 P2(612.5)=0 P115(612.5)=0 P116(612.5)=0
P1(612.6)=0 P2(612.6)=0 P115(612.6)=0 P116(612.6)=0
P1(612.7)=0 P2(612.7)=0 P115(612.7)=0 P116(612.7)=0
P1(612.8)=0 P2(612.8)=0 P115(612.8)=0 P116(612.8)=0
P1(612.9)=0 P2(612.9)=0 P115(612.9)=0 P116(612.9)=0
P1(613)=0 P2(613)=0 P115(613)=0 P116(613)=0
P1(613.1)=0 P2(613.1)=0 P115(613.1)=0 P116(613.1)=0
P1(613.2)=0 P2(613.2)=0 P115(613.2)=0 P116(613.2)=0
P1(613.3)=0 P2(613.3)=0 P115(613.3)=0 P116(613.3)=0
P1(613.4)=0 P2(613.4)=0 P115(613.4)=0 P116(613.4)=0
P1(613.5)=0 P2(613.5)=0 P115(613.5)=0 P116(613.5)=0
P1(613.6)=0 P2(613.6)=0 P115(613.6)=0 P116(613.6)=0
P1(613.7)=0 P2(613.7)=0 P115(613.7)=0 P116(613.7)=0
P1(613.8)=0 P2(613.8)=0 P115(613.8)=0 P116(613.8)=0
P1(613.9)=0 P2(613.9)=0 P115(613.9)=0 P116(613.9)=0
P1(614)=0 P2(614)=0 P115(614)=0 P116(614)=0
P1(614.1)=0 P2(614.1)=0 P115(614.1)=0 P116(614.1)=0
P1(614.2)=0 P2(614.2)=0 P115(614.2)=0 P116(614.2)=0
P1(614.3)=0 P2(614.3)=0 P115(614.3)=0 P116(614.3)=0
P1(614.4)=0 P2(614.4)=0 P115(614.4)=0 P116(614.4)=0
P1(614.5)=0 P2(614.5)=0 P115(614.5)=0 P116(614.5)=0
P1(614.6)=0 P2(614.6)=0 P115(614.6)=0 P116(614.6)=0
P1(614.7)=0 P2(614.7)=0 P115(614.7)=0 P116(614.7)=0
P1(614.8)=0 P2(614.8)=0 P115(614.8)=0 P116(614.8)=0
P1(614.9)=0 P2(614.9)=0 P115(614.9)=0 P116(614.9)=0
P1(615)=0 P2(615)=0 P115(615)=0 P116(615)=0
P1(615.1)=0 P2(615.1)=0 P115(615.1)=0 P116(615.1)=0
P1(615.2)=0 P2(615.2)=0 P115(615.2)=0 P116(615.2)=0
P1(615.3)=0 P2(615.3)=0 P115(615.3)=0 P116(615.3)=0
P1(615.4)=0 P2(615.4)=0 P115(615.4)=0 P116(615.4)=0
P1(615.5)=0 P2(615.5)=0 P115(615.5)=0 P116(615.5)=0
P1(615.6)=0 P2(615.6)=0 P115(615.6)=0 P116(615.6)=0
P1(615.7)=0 P2(615.7)=0 P115(615.7)=0 P116(615.7)=0
P1(615.8)=0 P2(615.8)=0 P115(615.8)=0 P116(615.8)=0
P1(615.9)=0 P2(615.9)=0 P115(615.9)=0 P116(615.9)=0
P1(616)=0 P2(616)=0 P115(616)=0 P116(616)=0
P1(616.1)=0 P2(616.1)=0 P115(616.1)=0 P116(616.1)=0
P1(616.2)=0 P2(616.2)=0 P115(616.2)=0 P116(616.2)=0
P1(616.3)=0 P2(616.3)=0 P115(616.3)=0 P116(616.3)=0
P1(616.4)=0 P2(616.4)=0 P115(616.4)=0 P116(616.4)=0
P1(616.5)=0 P2(616.5)=0 P115(616.5)=0 P116(616.5)=0
P1(616.6)=0 P2(616.6)=0 P115(616.6)=0 P116(616.6)=0
P1(616.7)=0 P2(616.7)=0 P115(616.7)=0 P116(616.7)=0
P1(616.8)=0 P2(616.8)=0 P115(616.8)=0 P116(616.8)=0
P1(616.9)=0 P2(616.9)=0 P115(616.9)=0 P116(616.9)=0
P1(617)=0 P2(617)=0 P115(617)=0 P116(617)=0
P1(617.1)=0 P2(617.1)=0 P115(617.1)=0 P116(617.1)=0
P1(617.2)=0 P2(617.2)=0 P115(617.2)=0 P116(617.2)=0
P1(617.3)=0 P2(617.3)=0 P115(617.3)=0 P116(617.3)=0
P1(617.4)=0 P2(617.4)=0 P115(617.4)=0 P116(617.4)=0
P1(617.5)=0 P2(617.5)=0 P115(617.5)=0 P116(617.5)=0
P1(617.6)=0 P2(617.6)=0 P115(617.6)=0 P116(617.6)=0
P1(617.7)=0 P2(617.7)=0 P115(617.7)=0 P116(617.7)=0
P1(617.8)=0 P2(617.8)=0 P115(617.8)=0 P116(617.8)=0
P1(617.9)=0 P2(617.9)=0 P115(617.9)=0 P116(617.9)=0
P1(618)=0 P2(618)=0 P115(618)=0 P116(618)=0
P1(618.1)=0 P2(618.1)=0 P115(618.1)=0 P116(618.1)=0
P1(618.2)=0 P2(618.2)=0 P115(618.2)=0 P116(618.2)=0
P1(618.3)=0 P2(618.3)=0 P115(618.3)=0 P116(618.3)=0
P1(618.4)=0 P2(618.4)=0 P115(618.4)=0 P116(618.4)=0
P1(618.5)=0 P2(618.5)=0 P115(618.5)=0 P116(618.5)=0
P1(618.6)=0 P2(618.6)=0 P115(618.6)=0 P116(618.6)=0
P1(618.7)=0 P2(618.7)=0 P115(618.7)=0 P116(618.7)=0
P1(618.8)=0 P2(618.8)=0 P115(618.8)=0 P116(618.8)=0
P1(618.9)=0 P2(618.9)=0 P115(618.9)=0 P116(618.9)=0
P1(619)=0 P2(619)=0 P115(619)=0 P116(619)=0
P1(619.1)=0 P2(619.1)=0 P115(619.1)=0 P116(619.1)=0
P1(619.2)=0 P2(619.2)=0 P115(619.2)=0 P116(619.2)=0
P1(619.3)=0 P2(619.3)=0 P115(619.3)=0 P116(619.3)=0
P1(619.4)=0 P2(619.4)=0 P115(619.4)=0 P116(619.4)=0
P1(619.5)=0 P2(619.5)=0 P115(619.5)=0 P116(619.5)=0
P1(619.6)=0 P2(619.6)=0 P115(619.6)=0 P116(619.6)=0
P1(619.7)=0 P2(619.7)=0 P115(619.7)=0 P116(619.7)=0
P1(619.8)=0 P2(619.8)=0 P115(619.8)=0 P116(619.8)=0
P1(619.9)=0 P2(619.9)=0 P115(619.9)=0 P116(619.9)=0
P1(620)=0 P2(620)=0 P115(620)=0 P116(620)=0
P1(620.1)=0 P2(620.1)=0 P115(620.1)=0 P116(620.1)=0
P1(620.2)=0 P2(620.2)=0 P115(620.2)=0 P116(620.2)=0
P1(620.3)=0 P2(620.3)=0 P115(620.3)=0 P116(620.3)=0
P1(620.4)=0 P2(620.4)=0 P115(620.4)=0 P116(620.4)=0
P1(620.5)=0 P2(620.5)=0 P115(620.5)=0 P116(620.5)=0
P1(620.6)=0 P2(620.6)=0 P115(620.6)=0 P116(620.6)=0
P1(620.7)=0 P2(620.7)=0 P115(620.7)=0 P116(620.7)=0
P1(620.8)=0 P2(620.8)=0 P115(620.8)=0 P116(620.8)=0
P1(620.9)=0 P2(620.9)=0 P115(620.9)=0 P116(620.9)=0
P1(621)=0 P2(621)=0 P115(621)=0 P116(621)=0
P1(621.1)=0 P2(621.1)=0 P115(621.1)=0 P116(621.1)=0
P1(621.2)=0 P2(621.2)=0 P115(621.2)=0 P116(621.2)=0
P1(621.3)=0 P2(621.3)=0 P115(621.3)=0 P116(621.3)=0
P1(621.4)=0 P2(621.4)=0 P115(621.4)=0 P116(621.4)=0
P1(621.5)=0 P2(621.5)=0 P115(621.5)=0 P116(621.5)=0
P1(621.6)=0 P2(621.6)=0 P115(621.6)=0 P116(621.6)=0
P1(621.7)=0 P2(621.7)=0 P115(621.7)=0 P116(621.7)=0
P1(621.8)=0 P2(621.8)=0 P115(621.8)=0 P116(621.8)=0
P1(621.9)=0 P2(621.9)=0 P115(621.9)=0 P116(621.9)=0
P1(622)=0 P2(622)=0 P115(622)=0 P116(622)=0
P1(622.1)=0 P2(622.1)=0 P115(622.1)=0 P116(622.1)=0
P1(622.2)=0 P2(622.2)=0 P115(622.2)=0 P116(622.2)=0
P1(622.3)=0 P2(622.3)=0 P115(622.3)=0 P116(622.3)=0
P1(622.4)=0 P2(622.4)=0 P115(622.4)=0 P116(622.4)=0
P1(622.5)=0 P2(622.5)=0 P115(622.5)=0 P116(622.5)=0
P1(622.6)=0 P2(622.6)=0 P115(622.6)=0 P116(622.6)=0
P1(622.7)=0 P2(622.7)=0 P115(622.7)=0 P116(622.7)=0
P1(622.8)=0.1 P2(622.8)=0 P115(622.8)=0 P116(622.8)=0
P1(622.9)=-0.4 P2(622.9)=0 P115(622.9)=0 P116(622.9)=0
P1(623)=-0.9 P2(623)=0 P115(623)=0 P116(623)=0
P1(623.1)=-0.8 P2(623.1)=0 P115(623.1)=0 P116(623.1)=0
P1(623.2)=-0.8 P2(623.2)=0 P115(623.2)=0 P116(623.2)=0
P1(623.3)=-1.3 P2(623.3)=0 P115(623.3)=0 P116(623.3)=0
P1(623.4)=-0.3 P2(623.4)=0 P115(623.4)=0 P116(623.4)=0
P1(623.5)=-0.3 P2(623.5)=0 P115(623.5)=0 P116(623.5)=0
P1(623.6)=0.8 P2(623.6)=0 P115(623.6)=0 P116(623.6)=0
P1(623.7)=0.9 P2(623.7)=1.1 P115(623.7)=0 P116(623.7)=0
P1(623.8)=0.4 P2(623.8)=1.1 P115(623.8)=0 P116(623.8)=0
P1(623.9)=0.4 P2(623.9)=1.2 P115(623.9)=0 P116(623.9)=1
P1(624)=0.4 P2(624)=1.2 P115(624)=0 P116(624)=-0.5
P1(624.1)=0.6 P2(624.1)=1.2 P115(624.1)=0 P116(624.1)=-0.5
P1(624.2)=0.7 P2(624.2)=1.2 P115(624.2)=0 P116(624.2)=-0.4
P1(624.3)=2.7 P2(624.3)=2.2 P115(624.3)=0 P116(624.3)=-0.4
P1(624.4)=2.7 P2(624.4)=2.2 P115(624.4)=0 P116(624.4)=-0.4
P1(624.5)=2.7 P2(624.5)=2.2 P115(624.5)=0 P116(624.5)=-0.4
P1(624.6)=3.8 P2(624.6)=2.2 P115(624.6)=0 P116(624.6)=-0.4
P1(624.7)=3.8 P2(624.7)=2.2 P115(624.7)=0 P116(624.7)=-0.4
P1(624.8)=3.9 P2(624.8)=2.2 P115(624.8)=0 P116(624.8)=-0.4
P1(624.9)=3.9 P2(624.9)=2.2 P115(624.9)=0 P116(624.9)=-0.4
P1(625)=5 P2(625)=2.2 P115(625)=0 P116(625)=-0.2
P1(625.1)=6 P2(625.1)=3.2 P115(625.1)=0 P116(625.1)=0.8
P1(625.2)=6.1 P2(625.2)=3.4 P115(625.2)=0 P116(625.2)=1.8
P1(625.3)=6.1 P2(625.3)=4.4 P115(625.3)=0 P116(625.3)=1.8
P1(625.4)=6.2 P2(625.4)=4.4 P115(625.4)=0 P116(625.4)=1.8
P1(625.5)=5.7 P2(625.5)=4.4 P115(625.5)=0 P116(625.5)=1.8
P1(625.6)=6.8 P2(625.6)=5.5 P115(625.6)=0 P116(625.6)=1.9
P1(625.7)=7.9 P2(625.7)=5.5 P115(625.7)=0 P116(625.7)=2.4
P1(625.8)=7.9 P2(625.8)=5.5 P115(625.8)=0 P116(625.8)=2.4
P1(625.9)=7.9 P2(625.9)=5.5 P115(625.9)=0 P116(625.9)=2.4
P1(626)=7.9 P2(626)=5.5 P115(626)=0 P116(626)=2.4
P1(626.1)=8 P2(626.1)=6.5 P115(626.1)=0 P116(626.1)=3.4
P1(626.2)=9 P2(626.2)=6.5 P115(626.2)=0 P116(626.2)=3.4
P1(626.3)=9 P2(626.3)=6.5 P115(626.3)=0 P116(626.3)=4.4
P1(626.4)=9 P2(626.4)=6.5 P115(626.4)=0 P116(626.4)=4.4
P1(626.5)=9 P2(626.5)=6.5 P115(626.5)=0 P116(626.5)=4.4
P1(626.6)=10.2 P2(626.6)=6.5 P115(626.6)=0 P116(626.6)=5.5
P1(626.7)=10.2 P2(626.7)=6.5 P115(626.7)=0 P116(626.7)=5.1
P1(626.8)=10.2 P2(626.8)=6.5 P115(626.8)=0 P116(626.8)=5.1
P1(626.9)=10.2 P2(626.9)=6 P115(626.9)=0 P116(626.9)=5.3
P1(627)=10.2 P2(627)=6 P115(627)=0 P116(627)=5.3
P1(627.1)=10.2 P2(627.1)=6.1 P115(627.1)=0 P116(627.1)=5.3
P1(627.2)=10.3 P2(627.2)=6.2 P115(627.2)=0 P116(627.2)=5.3
P1(627.3)=12.3 P2(627.3)=6.2 P115(627.3)=0 P116(627.3)=5.3
P1(627.4)=12.3 P2(627.4)=6.2 P115(627.4)=0 P116(627.4)=5.3
P1(627.5)=12.3 P2(627.5)=7.2 P115(627.5)=0 P116(627.5)=5.5
P1(627.6)=12.3 P2(627.6)=7.3 P115(627.6)=0 P116(627.6)=6.5
P1(627.7)=12.3 P2(627.7)=8.3 P115(627.7)=0 P116(627.7)=7
P1(627.8)=12.4 P2(627.8)=8.5 P115(627.8)=0 P116(627.8)=7
P1(627.9)=12.4 P2(627.9)=8.6 P115(627.9)=0 P116(627.9)=7
P1(628)=13.4 P2(628)=8.6 P115(628)=0 P116(628)=7
P1(628.1)=13.4 P2(628.1)=8.6 P115(628.1)=0 P116(628.1)=7
P1(628.2)=13.4 P2(628.2)=8.6 P115(628.2)=0 P116(628.2)=7.1
P1(628.3)=13.5 P2(628.3)=8.7 P115(628.3)=0 P116(628.3)=7.2
P1(628.4)=13.5 P2(628.4)=9.8 P115(628.4)=0 P116(628.4)=7.3
P1(628.5)=13.5 P2(628.5)=9.8 P115(628.5)=0 P116(628.5)=8.4
P1(628.6)=13.5 P2(628.6)=10.9 P115(628.6)=0 P116(628.6)=9.4
P1(628.7)=13.6 P2(628.7)=10.9 P115(628.7)=0 P116(628.7)=8.9
P1(628.8)=14.6 P2(628.8)=10.9 P115(628.8)=0 P116(628.8)=8.9
P1(628.9)=14.6 P2(628.9)=11 P115(628.9)=0 P116(628.9)=8.9
P1(629)=14.6 P2(629)=11 P115(629)=0 P116(629)=9.9
P1(629.1)=15.6 P2(629.1)=11 P115(629.1)=0 P116(629.1)=9.9
P1(629.2)=15.6 P2(629.2)=11 P115(629.2)=0 P116(629.2)=10
P1(629.3)=15.7 P2(629.3)=11.1 P115(629.3)=0 P116(629.3)=10
P1(629.4)=15.7 P2(629.4)=12.2 P115(629.4)=0 P116(629.4)=10.1
P1(629.5)=16.8 P2(629.5)=12.7 P115(629.5)=0 P116(629.5)=10.1
P1(629.6)=16.8 P2(629.6)=14.7 P115(629.6)=0 P116(629.6)=11.1
P1(629.7)=16.8 P2(629.7)=14.2 P115(629.7)=0 P116(629.7)=11.1
P1(629.8)=16.9 P2(629.8)=14.2 P115(629.8)=0 P116(629.8)=11.1
P1(629.9)=17.9 P2(629.9)=14.2 P115(629.9)=0 P116(629.9)=11.1
P1(630)=18 P2(630)=14.2 P115(630)=0 P116(630)=11.1
P1(630.1)=18 P2(630.1)=14.4 P115(630.1)=0 P116(630.1)=12.1
P1(630.2)=18 P2(630.2)=14.4 P115(630.2)=0 P116(630.2)=13.1
P1(630.3)=18 P2(630.3)=14.4 P115(630.3)=0 P116(630.3)=13.2
P1(630.4)=18.1 P2(630.4)=14.4 P115(630.4)=0 P116(630.4)=13.2
P1(630.5)=18.2 P2(630.5)=14.4 P115(630.5)=0 P116(630.5)=13.2
P1(630.6)=18.2 P2(630.6)=15.4 P115(630.6)=0 P116(630.6)=13.2
P1(630.7)=20.2 P2(630.7)=15.4 P115(630.7)=0 P116(630.7)=13.2
P1(630.8)=0 P2(630.8)=15.4 P115(630.8)=0 P116(630.8)=13.3
P1(630.9)=0 P2(630.9)=16.4 P115(630.9)=0 P116(630.9)=13.3
P1(631)=0 P2(631)=16.4 P115(631)=0 P116(631)=13.3
P1(631.1)=0 P2(631.1)=17.4 P115(631.1)=0 P116(631.1)=13.4
P1(631.2)=0 P2(631.2)=17.8 P115(631.2)=0 P116(631.2)=13.4
P1(631.3)=0 P2(631.3)=18 P115(631.3)=0 P116(631.3)=13.4
P1(631.4)=0 P2(631.4)=18.1 P115(631.4)=0 P116(631.4)=13.5
P1(631.5)=0 P2(631.5)=18.1 P115(631.5)=0 P116(631.5)=13.5
P1(631.6)=0 P2(631.6)=17.7 P115(631.6)=0 P116(631.6)=13.6
P1(631.7)=0 P2(631.7)=18.7 P115(631.7)=0 P116(631.7)=13.1
P1(631.8)=0 P2(631.8)=18.7 P115(631.8)=0 P116(631.8)=13.1
P1(631.9)=0 P2(631.9)=18.9 P115(631.9)=0 P116(631.9)=14.1
P1(632)=0 P2(632)=18.4 P115(632)=0 P116(632)=14.3
P1(632.1)=0 P2(632.1)=18.6 P115(632.1)=0 P116(632.1)=14.3
P1(632.2)=0 P2(632.2)=18.1 P115(632.2)=0 P116(632.2)=14.4
P1(632.3)=0 P2(632.3)=18.1 P115(632.3)=0 P116(632.3)=16.5
P1(632.4)=0 P2(632.4)=18.1 P115(632.4)=1 P116(632.4)=17.5
