Membrane potentials for each step (in ms) [0,10000]
P1(11.7)=0 P2(11.7)=0 P115(11.7)=0 P116(11.7)=0
P1(11.8)=0 P2(11.8)=0 P115(11.8)=0 P116(11.8)=0
P1(11.9)=0 P2(11.9)=0 P115(11.9)=0 P116(11.9)=0
P1(12)=0 P2(12)=0 P115(12)=0 P116(12)=0
P1(12.1)=0 P2(12.1)=0 P115(12.1)=0 P116(12.1)=0
P1(12.2)=0 P2(12.2)=0 P115(12.2)=0 P116(12.2)=0
P1(12.3)=0 P2(12.3)=0 P115(12.3)=0 P116(12.3)=0
P1(12.4)=0 P2(12.4)=0 P115(12.4)=0 P116(12.4)=0
P1(12.5)=0 P2(12.5)=0 P115(12.5)=0 P116(12.5)=0
P1(12.6)=0 P2(12.6)=0 P115(12.6)=0 P116(12.6)=0
P1(12.7)=0 P2(12.7)=0 P115(12.7)=0 P116(12.7)=0
P1(12.8)=0 P2(12.8)=0 P115(12.8)=0 P116(12.8)=0
P1(12.9)=0 P2(12.9)=0 P115(12.9)=0 P116(12.9)=0
P1(13)=0 P2(13)=0 P115(13)=0 P116(13)=0
P1(13.1)=0 P2(13.1)=0 P115(13.1)=0 P116(13.1)=0
P1(13.2)=0 P2(13.2)=0 P115(13.2)=0 P116(13.2)=0
P1(13.3)=0 P2(13.3)=0 P115(13.3)=0 P116(13.3)=0
P1(13.4)=0 P2(13.4)=0 P115(13.4)=0 P116(13.4)=0
P1(13.5)=0 P2(13.5)=0 P115(13.5)=0 P116(13.5)=0
P1(13.6)=0 P2(13.6)=0 P115(13.6)=0 P116(13.6)=0
P1(13.7)=0 P2(13.7)=0 P115(13.7)=0 P116(13.7)=0
P1(13.8)=0 P2(13.8)=0 P115(13.8)=0 P116(13.8)=0
P1(13.9)=0 P2(13.9)=0 P115(13.9)=0 P116(13.9)=0
P1(14)=0 P2(14)=0 P115(14)=0 P116(14)=0
P1(14.1)=0 P2(14.1)=0 P115(14.1)=0 P116(14.1)=0
P1(14.2)=0 P2(14.2)=0 P115(14.2)=0 P116(14.2)=0
P1(14.3)=0 P2(14.3)=0 P115(14.3)=0 P116(14.3)=0
P1(14.4)=0 P2(14.4)=0 P115(14.4)=0 P116(14.4)=0
P1(14.5)=0 P2(14.5)=0 P115(14.5)=0 P116(14.5)=0
P1(14.6)=0 P2(14.6)=0 P115(14.6)=0 P116(14.6)=0
